IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  CONTROLLER RESULTS FILE 
Run time: 09:28:01 21-11-2022
Barometric pressure: 0.9994 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Time[s],PV[BarA],SP[BarA],IO[mA]
4.15300,1.00375,1.06816,7.14212
4.16400,1.00436,1.06816,7.14665
4.17400,1.00254,1.06816,7.15944
4.18600,1.00223,1.06816,7.16397
4.19700,1.00375,1.06816,7.17124
4.20700,1.00436,1.06816,7.17787
4.21700,1.00436,1.06816,7.18721
4.22700,1.00405,1.06816,7.18607
4.23700,1.00314,1.06816,7.19109
4.24800,1.00375,1.06816,7.19806
4.25900,1.00405,1.06816,7.21424
4.27500,1.00345,1.06816,7.21702
4.28500,1.00345,1.06816,7.22302
4.29600,1.00466,1.06816,7.23279
4.31900,1.00345,1.06816,7.24321
4.32900,1.00405,1.06816,7.24873
4.33900,1.00436,1.06816,7.25482
4.35600,1.00314,1.06816,7.26518
4.36600,1.00314,1.06816,7.27251
4.37700,1.00527,1.06816,7.27805
4.38700,1.00496,1.06816,7.28821
4.39800,1.00405,1.06816,7.28911
4.40900,1.00436,1.06816,7.29338
4.42000,1.00466,1.06816,7.29915
4.43000,1.00375,1.06816,7.31192
4.44000,1.00345,1.06816,7.31553
4.45000,1.00345,1.06816,7.32233
4.46100,1.00436,1.06816,7.33177
4.47200,1.00345,1.06816,7.34686
4.48800,1.00375,1.06816,7.34807
4.49800,1.00314,1.06816,7.35378
4.50800,1.00345,1.06816,7.36138
4.51800,1.00496,1.06816,7.37316
4.53100,1.00557,1.06816,7.37200
4.54100,1.00436,1.06816,7.37586
4.55100,1.00375,1.06816,7.38011
4.56100,1.00345,1.06816,7.39256
4.57200,1.00496,1.06816,7.39581
4.58200,1.00436,1.06816,7.40405
4.59200,1.00345,1.06816,7.40886
4.60200,1.00466,1.06816,7.42084
4.61400,1.00466,1.06816,7.42103
4.62500,1.00527,1.06816,7.42660
4.63600,1.00436,1.06816,7.43335
4.65300,1.00496,1.06816,7.44231
4.66300,1.00527,1.06816,7.44698
4.67300,1.00405,1.06816,7.45306
4.68300,1.00436,1.06816,7.46759
4.69600,1.00588,1.06816,7.46767
4.70600,1.00466,1.06816,7.47366
4.71600,1.00527,1.06816,7.47868
4.72600,1.00375,1.06816,7.49180
4.74000,1.00466,1.06816,7.49468
4.75100,1.00496,1.06816,7.50177
4.76200,1.00557,1.06816,7.50892
4.81600,1.00405,1.06816,7.54307
4.83600,1.00405,1.06816,7.55410
4.84600,1.00466,1.06816,7.56023
4.85700,1.00709,1.06816,7.56470
4.86700,1.00618,1.06816,7.57600
4.88100,1.00588,1.06816,7.57384
4.89200,1.00618,1.06816,7.57744
4.90300,1.00466,1.06816,7.58460
4.91900,1.00345,1.06816,7.59957
4.92900,1.00496,1.06816,7.60731
4.94000,1.00557,1.06816,7.61515
4.95000,1.00557,1.06816,7.63156
4.96800,1.00496,1.06816,7.63104
4.97900,1.00527,1.06816,7.63520
4.98900,1.00557,1.06816,7.64745
5.00100,1.00405,1.06816,7.65083
